sample_id,patient_id,cohort,organ,disease_state,platform,dataset_title,study_link,features_path,counts_path,coords_path,size_factor_path,spots_path,genes_path,n_spots,n_genes,sf_normalization,split
MISC33,   ,COLON MAP: Colon Molecular Atlas Project,Bowel,Cancer,Visium,COLON MAP: Colon Molecular Atlas Project,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,../processed/MISC33/features_context.npy,../processed/MISC33/counts.npz,../processed/MISC33/coords.npy,../processed/MISC33/size_factor.npy,../processed/MISC33/spots.txt,../processed/MISC33/genes.txt,3385,18729,mean,test
MISC34,   ,COLON MAP: Colon Molecular Atlas Project,Bowel,Cancer,Visium,COLON MAP: Colon Molecular Atlas Project,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,../processed/MISC34/features_context.npy,../processed/MISC34/counts.npz,../processed/MISC34/coords.npy,../processed/MISC34/size_factor.npy,../processed/MISC34/spots.txt,../processed/MISC34/genes.txt,3731,19276,mean,train
MISC35,   ,COLON MAP: Colon Molecular Atlas Project,Bowel,Cancer,Visium,COLON MAP: Colon Molecular Atlas Project,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,../processed/MISC35/features_context.npy,../processed/MISC35/counts.npz,../processed/MISC35/coords.npy,../processed/MISC35/size_factor.npy,../processed/MISC35/spots.txt,../processed/MISC35/genes.txt,3578,19061,mean,val
MISC36,   ,COLON MAP: Colon Molecular Atlas Project,Bowel,Cancer,Visium,COLON MAP: Colon Molecular Atlas Project,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,../processed/MISC36/features_context.npy,../processed/MISC36/counts.npz,../processed/MISC36/coords.npy,../processed/MISC36/size_factor.npy,../processed/MISC36/spots.txt,../processed/MISC36/genes.txt,3502,19119,mean,train
MISC37,   ,COLON MAP: Colon Molecular Atlas Project,Bowel,Cancer,Visium,COLON MAP: Colon Molecular Atlas Project,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,../processed/MISC37/features_context.npy,../processed/MISC37/counts.npz,../processed/MISC37/coords.npy,../processed/MISC37/size_factor.npy,../processed/MISC37/spots.txt,../processed/MISC37/genes.txt,3636,19396,mean,train
MISC38,   ,COLON MAP: Colon Molecular Atlas Project,Bowel,Cancer,Visium,COLON MAP: Colon Molecular Atlas Project,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,../processed/MISC38/features_context.npy,../processed/MISC38/counts.npz,../processed/MISC38/coords.npy,../processed/MISC38/size_factor.npy,../processed/MISC38/spots.txt,../processed/MISC38/genes.txt,1727,19366,mean,train
MISC39,   ,COLON MAP: Colon Molecular Atlas Project,Bowel,Cancer,Visium,COLON MAP: Colon Molecular Atlas Project,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,../processed/MISC39/features_context.npy,../processed/MISC39/counts.npz,../processed/MISC39/coords.npy,../processed/MISC39/size_factor.npy,../processed/MISC39/spots.txt,../processed/MISC39/genes.txt,4078,19234,mean,train
MISC40,   ,COLON MAP: Colon Molecular Atlas Project,Bowel,Cancer,Visium,COLON MAP: Colon Molecular Atlas Project,https://www.cell.com/cell/fulltext/S0092-8674(21)01381-7?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867421013817%3Fshowall%3Dtrue,../processed/MISC40/features_context.npy,../processed/MISC40/counts.npz,../processed/MISC40/coords.npy,../processed/MISC40/size_factor.npy,../processed/MISC40/spots.txt,../processed/MISC40/genes.txt,4116,19352,mean,train
MISC41,   ,COLON MAP: Colon Molecular Atlas Project,Bowel,Cancer,Visium,COLON MAP: Colon Molecular Atlas Project,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,../processed/MISC41/features_context.npy,../processed/MISC41/counts.npz,../processed/MISC41/coords.npy,../processed/MISC41/size_factor.npy,../processed/MISC41/spots.txt,../processed/MISC41/genes.txt,3708,19255,mean,train
MISC42,   ,COLON MAP: Colon Molecular Atlas Project,Bowel,Cancer,Visium,COLON MAP: Colon Molecular Atlas Project,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,../processed/MISC42/features_context.npy,../processed/MISC42/counts.npz,../processed/MISC42/coords.npy,../processed/MISC42/size_factor.npy,../processed/MISC42/spots.txt,../processed/MISC42/genes.txt,659,19304,mean,train
